T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje
623.15,300.032917,3000.0,400.0,0.4,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.999986634595 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,3000.0,400.0,0.45,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999908239907 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,3000.0,400.0,0.55,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999995938454 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,3000.0,400.0,0.6,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=51711.1 fuera de dominio a P=4e+05 Pa, x=0.6134"
623.15,300.032917,3000.0,400.0,0.65,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=63662.3 fuera de dominio a P=4e+05 Pa, x=0.6627"
623.15,300.032917,3000.0,400.0,0.7,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: h=80519.1 fuera de dominio a P=4e+05 Pa, x=0.7117"
