T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje
623.15,300.032917,2000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=2000.0 kPa, T=623.0000091226806 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,2250.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=2250.0 kPa, T=623.0000058142358 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,2500.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=2500.0 kPa, T=623.0000024147047 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,2750.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=2750.0 kPa, T=622.9999988927121 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,3000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3000.0 kPa, T=622.9999953066318 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,3250.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3250.0 kPa, T=622.9999916547947 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,3500.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3500.0 kPa, T=622.9999884354551 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,3750.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=3750.0 kPa, T=622.9999846467892 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
623.15,300.032917,4000.0,400.0,0.5,1.0,0.85,0.75,0.85,0.75,0.8,False,NO_CONVERGIO,,,"equilibrio_liquido_vapor(P=4000.0 kPa, T=622.9999807869 K): no existe equilibrio bifásico para ninguna composición (T fuera de la campana binaria a esa P, motor teqp)."
