T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje,q2,q4,T2,T_sat_L,T9_amb,margen_O1,margen_O2,margen_S5,margen_O5,criterio_ligante,margen_ligante,motor_confirmado
470.0,300.032917,3000.0,400.0,0.4,1.0,0.85,0.75,0.8,0.75,0.95,True,KALINA,0.1235704339915866,154.53514128412337,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5296273170396775,0.90190607840578,461.481212041098,320.89962245833146,316.09079606802425,0.0019060784057799,4.8088263903072175,8.51878795890201,0.4693726829603225,O1,0.0019060784057799,
470.0,300.032917,3000.0,400.0,0.4,1.0,0.85,0.75,0.825,0.75,0.95,True,KALINA,0.1239422940671759,160.5413992348997,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5489876356589675,0.901575293954404,462.673490040329,320.89962245833146,316.5367920877524,0.001575293954404,4.362830370579047,7.326509959671,0.4500123643410325,O1,0.001575293954404,
470.0,300.032917,3000.0,400.0,0.4,1.0,0.85,0.75,0.85,0.75,0.95,True,KALINA,0.1242887803299733,166.61330414986975,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5685612755830746,0.901254212086127,463.8264302391207,320.89962245833146,316.9879835048209,0.0012542120861269,3.9116389535105895,6.173569760879332,0.4304387244169254,O1,0.0012542120861269,
470.0,300.032917,3000.0,400.0,0.4,1.0,0.85,0.75,0.875,0.75,0.95,True,KALINA,0.1246127554140501,172.75343838041275,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5883573521073542,0.9009423979519868,464.94157686339366,320.89962245833146,317.444478895486,0.0009423979519869,3.455143562845535,5.058423136606336,0.4106426478926458,O1,0.0009423979519869,True
470.0,300.032917,3000.0,400.0,0.4,1.0,0.85,0.75,0.9,0.75,0.95,True,KALINA,0.1249166661515232,178.9642856918261,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.6083845581112871,0.9006394655488003,466.0204077725547,320.89962245833146,317.9063820923,0.0006394655488002,2.9932403660315003,3.9795922274453233,0.3906154418887129,O1,0.0006394655488002,True
470.0,300.032917,3000.0,400.0,0.4,1.0,0.85,0.75,0.925,0.75,0.95,True,KALINA,0.1252026935939572,185.2482676800473,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.6286512706341925,0.9003450509587303,467.0643399114039,320.89962245833146,318.3737939102797,0.0003450509587302,2.525828548051777,2.93566008859608,0.3703487293658075,O1,0.0003450509587302,True
470.0,300.032917,3000.0,400.0,0.4,1.0,0.85,0.75,0.95,0.75,0.95,True,KALINA,0.12547276472853,191.6077364105249,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.6491655575611939,0.9000588231066387,468.074728534962,320.89962245833146,318.8468118315572,5.8823106638628e-05,2.05281062677426,1.9252714650380085,0.3498344424388061,O1,5.8823106638628e-05,True
470.0,300.032917,3000.0,400.0,0.4,1.0,0.85,0.75,0.975,0.75,0.95,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: equilibrio no resoluble en T=298.62 K, P=4e+05 Pa, x=0.1385",,,,,,,,,,,,
470.0,300.032917,3000.0,400.0,0.4,1.0,0.85,0.75,0.99,0.75,0.95,True,VALIDO_ADVERTENCIA,0.1258758902496832,201.9455949563677,"[VALIDO_ADVERTENCIA] O1: título de vapor a la salida de la turbina bajo el umbral tecnológico usual (erosión de álabes) (medido=0.8996171189886663, esperado=>= 0.90). Causa probable: expansión hasta P_baja deja la mezcla demasiado húmeda para ese eta_t y esa composición. Sugerencia: considerar recal",0.6825227320038918,0.8996171189886663,469.6247922713156,320.89962245833146,319.615535830256,-0.0003828810113337,1.2840866280754994,0.3752077286844155,0.3164772679961082,O1,-0.0003828810113337,True
