T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje,q2,q4,T2,T_sat_L,T9_amb,margen_O1,margen_O2,margen_S5,margen_O5,criterio_ligante,margen_ligante,motor_confirmado
470.0,300.032917,3000.0,400.0,0.4,1.0,0.85,0.75,0.85,0.75,0.95,True,KALINA,0.1242887803299733,166.61330414986975,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5685612755830746,0.901254212086127,463.8264302391207,320.89962245833146,316.9879835048209,0.0012542120861269,3.9116389535105895,6.173569760879332,0.4304387244169254,O1,0.0012542120861269,True
470.0,300.032917,3000.0,420.0,0.4,1.0,0.85,0.75,0.85,0.75,0.95,True,KALINA,0.1215552425346589,162.9368646921125,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5685702460089396,0.9028941566124056,463.8269469435874,322.45821351989304,317.0293083034067,0.0028941566124055,5.428905216486328,6.173053056412584,0.4304297539910604,O1,0.0028941566124055,
470.0,300.032917,3000.0,440.0,0.4,1.0,0.85,0.75,0.85,0.75,0.95,False,NO_CONVERGIO,,,"T_from_Ph(P, h, x): el motor teqp no cubre el estado pedido (ver TASK_CONTEXT 2026-09-18-validar-teqp-nh3h2o). Detalle: equilibrio no resoluble en T=297.32 K, P=4.4e+05 Pa, x=0.1390",,,,,,,,,,,,
470.0,300.032917,3000.0,460.0,0.4,1.0,0.85,0.75,0.85,0.75,0.95,True,KALINA,0.1164205755406731,156.03264135700863,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5685870006280992,0.9060053027329856,463.8279119963676,325.41456512689376,317.10693971687186,0.0060053027329856,8.307625410021899,6.172088003632439,0.4304129993719008,O1,0.0060053027329856,
470.0,300.032917,3000.0,480.0,0.4,1.0,0.85,0.75,0.85,0.75,0.95,True,KALINA,0.114001445165092,152.78052324167527,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5685948491405548,0.9074857238088384,463.8283640518442,326.82064741792584,317.1435186463533,0.0074857238088383,9.67712877157254,6.171635948155767,0.4304051508594452,O1,0.0074857238088383,
470.0,300.032917,3000.0,500.0,0.4,1.0,0.85,0.75,0.85,0.75,0.95,True,KALINA,0.1116709041619268,149.6479306381694,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5686023816054319,0.9089212684742496,463.8287978962069,328.1834117350352,317.17876085376594,0.0089212684742494,11.004650881269242,6.171202103793121,0.4303976183945681,O1,0.0089212684742494,
