T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje,q2,q4,T2,T_sat_L,T9_amb,margen_O1,margen_O2,margen_S5,margen_O5,criterio_ligante,margen_ligante,motor_confirmado
470.0,300.032917,3000.0,400.0,0.4,1.0,0.8,0.75,0.85,0.75,0.95,True,KALINA,0.1168287080545992,156.57858933722508,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5685878157604707,0.9090768263011322,463.82795894641976,320.89962245833146,317.1001643499228,0.0090768263011321,3.7994581084086576,6.172041053580244,0.4304121842395293,O1,0.0090768263011321,
470.0,300.032917,3000.0,400.0,0.4,1.0,0.82,0.75,0.85,0.75,0.95,True,KALINA,0.11981321450457,160.59259139713228,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5685771991214762,0.9059468665578276,463.8273474418194,320.89962245833146,317.05529223959053,0.0059468665578276,3.844330218740936,6.172652558180573,0.4304228008785238,O1,0.0059468665578276,
470.0,300.032917,3000.0,400.0,0.4,1.0,0.84,0.75,0.85,0.75,0.95,True,KALINA,0.1227970841982101,164.6064386111114,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.5685665832399688,0.9028181255968666,463.8267359661373,320.89962245833146,317.0104198257259,0.0028181255968665,3.889202632605589,6.173264033862722,0.4304334167600312,O1,0.0028181255968665,
470.0,300.032917,3000.0,400.0,0.4,1.0,0.86,0.75,0.85,0.75,0.95,True,VALIDO_ADVERTENCIA,0.1257803173689075,168.62013099520522,"[VALIDO_ADVERTENCIA] O1: título de vapor a la salida de la turbina bajo el umbral tecnológico usual (erosión de álabes) (medido=0.8996906135988957, esperado=>= 0.90). Causa probable: expansión hasta P_baja deja la mezcla demasiado húmeda para ese eta_t y esa composición. Sugerencia: considerar recal",0.5685559681155521,0.8996906135988957,463.82612451935495,320.89962245833146,316.9655471077205,-0.0003093864011043,3.9340753506109536,6.173875480645052,0.4304440318844479,O1,-0.0003093864011043,True
470.0,300.032917,3000.0,400.0,0.4,1.0,0.88,0.75,0.85,0.75,0.95,True,VALIDO_ADVERTENCIA,0.1287629142737114,172.63366859598014,"[VALIDO_ADVERTENCIA] O1: título de vapor a la salida de la turbina bajo el umbral tecnológico usual (erosión de álabes) (medido=0.8965643422566698, esperado=>= 0.90). Causa probable: expansión hasta P_baja deja la mezcla demasiado húmeda para ese eta_t y esa composición. Sugerencia: considerar recal",0.5685453537498135,0.8965643422566698,463.8255131014975,320.89962245833146,316.9206740845047,-0.0034356577433302,3.978948373826768,6.174486898502494,0.4304546462501865,O1,-0.0034356577433302,
470.0,300.032917,3000.0,400.0,0.4,1.0,0.9,0.75,0.85,0.75,0.95,True,VALIDO_ADVERTENCIA,0.1317448751199469,176.6470513948529,"[VALIDO_ADVERTENCIA] O1: título de vapor a la salida de la turbina bajo el umbral tecnológico usual (erosión de álabes) (medido=0.8934393218485728, esperado=>= 0.90). Causa probable: expansión hasta P_baja deja la mezcla demasiado húmeda para ese eta_t y esa composición. Sugerencia: considerar recal",0.5685347401404224,0.8934393218485728,463.82490171253,320.89962245833146,316.87580075579706,-0.0065606781514272,4.023821702534406,6.175098287470007,0.4304652598595776,O1,-0.0065606781514272,
