P_baja,eps_cond,clasificacion,eta,O2_margen,T_sat_L,T9_amb,margen_O1,margen_S5,criterio_ligante,margen_ligante,motor_confirmado
400.0,0.85,CORREGIBLE,0.1309652830988955,-6.238470119996748,320.89962245833146,327.1380925783282,0.0011413926062033,5.769570326684459,O2,-6.238470119996748,
400.0,0.87,CORREGIBLE,0.1301336586344198,-4.685200646803935,320.89962245833146,325.5848231051354,0.0011655803334577,5.856135243746564,O2,-4.685200646803935,
400.0,0.89,CORREGIBLE,0.1290019568950575,-3.1927835738791828,320.89962245833146,324.09240603221065,0.0011888860081383,5.939569452322019,O2,-3.1927835738791828,
400.0,0.91,CORREGIBLE,0.1275944017533584,-1.7593832269888594,320.89962245833146,322.6590056853203,0.0012113490484658,6.020011028221518,O2,-1.7593832269888594,
400.0,0.93,CORREGIBLE,0.1259456439308434,-0.3829637074795755,320.89962245833146,321.28258616581104,0.0012330231818442,6.09765085601606,O2,-0.3829637074795755,
400.0,0.95,KALINA,0.1242887803299733,3.9116389535105895,320.89962245833146,316.9879835048209,0.0012542120861269,6.173569760879332,O1,0.0012542120861269,
420.0,0.85,CORREGIBLE,0.128379332180836,-5.885165176503676,322.45821351989304,328.3433786963967,0.0027827977859941,5.769272757573958,O2,-5.885165176503676,
420.0,0.87,CORREGIBLE,0.1274915184188646,-4.328526273490354,322.45821351989304,326.7867397933834,0.0028066392519675,5.855668409320515,O2,-4.328526273490354,
420.0,0.89,CORREGIBLE,0.1263055570097224,-2.8330042069104024,322.45821351989304,325.29121772680344,0.0028296126594847,5.938945255769227,O2,-2.8330042069104024,
420.0,0.91,CORREGIBLE,0.1248454089261194,-1.3967522672777477,322.45821351989304,323.8549657871708,0.0028517566637733,6.019240380697909,O2,-1.3967522672777477,
420.0,0.93,CORREGIBLE,0.1231806878952066,-0.0176433760165082,322.45821351989304,322.47585689590954,0.0028731674105439,6.096900853183627,O2,-0.0176433760165082,
420.0,0.95,KALINA,0.1215552425346589,5.428905216486328,322.45821351989304,317.0293083034067,0.0028941566124055,6.173053056412584,O1,0.0028941566124055,
440.0,0.85,CORREGIBLE,0.1258793588154756,-5.542070761939272,323.9617187799274,329.5037895418667,0.0043662524458507,5.768891579284173,O2,-5.542070761939272,
440.0,0.87,CORREGIBLE,0.1249379421450728,-3.9822565444266615,323.9617187799274,327.9439753243541,0.0043897584047686,5.855126561749387,O2,-3.9822565444266615,
440.0,0.89,CORREGIBLE,0.1237001867293156,-2.483813921674482,323.9617187799274,326.4455327016019,0.0044124097474744,5.9382540160217445,O2,-2.483813921674482,
440.0,0.91,CORREGIBLE,0.1221898117443312,-1.044885666256164,323.9617187799274,325.0066044461836,0.0044342444228721,6.018410113709308,O2,-1.044885666256164,
440.0,0.93,KALINA,0.1205308267580395,1.375507846412006,323.9617187799274,322.5862109335154,0.0044554235545273,6.096184051171633,O1,0.0044554235545273,
440.0,0.95,NO_CONVERGIO,,,,,,,,,
460.0,0.85,CORREGIBLE,0.1234587529013733,-5.208437946769152,325.41456512689376,330.6230030736629,0.0058966785841347,5.768437184459515,O2,-5.208437946769152,
