T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje
394.15,278.15,3300.0,1150.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,True,CORREGIBLE,0.09168550248630705,82.04246436950851,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=309.8085905511784, esperado=<= 309.758 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1100.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,True,CORREGIBLE,0.09532623470918815,85.30622898290302,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=308.29383619798864, esperado=<= 308.189 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1250.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,True,KALINA,0.0847990704417825,75.87056180764522,"KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1300.0,0.82,1.0,0.9,0.8,0.85,0.95,0.95,True,KALINA,0.08153436231601342,72.94526677258047,"KALINA: régimen Kalina genuino y admisible, sin fallas."
