T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje,margen_O1,margen_O2,margen_S5,criterio_ligante,margen_ligante,spot_check,motor_confirmado,motor_real_clasificacion,motor_real_eta
394.15,278.15,3300.0,600.0,0.82,1.0,0.9,0.8,0.85,0.75,0.95,True,CORREGIBLE,0.1375268677292779,127.0486533415588,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=288.5582441542823, esperado=<= 288.461 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf",-0.9,-0.0975503313191552,14.037109514602207,O2,-0.0975503313191552,True,,,
394.15,278.15,3300.0,633.3333333333,0.82,1.0,0.9,0.8,0.85,0.75,0.95,True,CORREGIBLE,0.1336009152537673,123.40964386572318,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=290.1541624559789, esperado=<= 290.103 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenf",0.0429098369282189,-0.0507807903299522,14.03581717023036,O2,-0.0507807903299522,True,,,
394.15,278.15,3300.0,666.6666666667,0.82,1.0,0.9,0.8,0.85,0.75,0.95,True,CORREGIBLE,0.1298494870600746,119.93319200070133,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=291.68691229444295, esperado=<= 291.682 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben",0.0443677704315833,-0.0052314081791564,14.034595405262792,O2,-0.0052314081791564,True,True,CORREGIBLE,0.12982629364190013
394.15,278.15,3300.0,700.0,0.82,1.0,0.9,0.8,0.85,0.75,0.95,True,KALINA,0.1258131444606638,116.160036609947,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.0457281193485644,1.305793605697488,14.029516748584058,O2,1.305793605697488,True,,,
394.15,278.15,3300.0,733.3333333333,0.82,1.0,0.9,0.8,0.85,0.75,0.95,True,KALINA,0.122808202207297,113.4100873165474,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.0470048013640377,2.738589325592102,14.032338489179269,O2,2.738589325592102,False,,,
394.15,278.15,3300.0,766.6666666667,0.82,1.0,0.9,0.8,0.85,0.75,0.95,True,KALINA,0.1194924077297977,110.3392287345492,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.0482068863468307,4.121394233439332,14.03129282909464,O1,0.0482068863468307,False,,,
394.15,278.15,3300.0,800.0,0.82,1.0,0.9,0.8,0.85,0.75,0.95,True,KALINA,0.1162985863251361,107.3818843882582,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.049344177834161,5.459761715869547,14.030296456244002,O1,0.049344177834161,False,,,
