T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje,margen_O1,margen_O2,margen_S5,criterio_ligante,margen_ligante,spot_check,motor_confirmado,motor_real_clasificacion,motor_real_eta
394.15,278.15,3300.0,690.0,0.78,1.0,0.9,0.8,0.85,0.75,0.95,True,KALINA,0.1232455493684956,103.38500505851673,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.0448322083487402,3.575478114110581,11.908355329760468,O1,0.0448322083487402,False,,,
394.15,278.15,3300.0,690.0,0.7933333333,1.0,0.9,0.8,0.85,0.75,0.95,True,KALINA,0.1235504749374037,107.08316436614284,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.0450374540650294,2.630406766878309,12.57383899762823,O2,2.630406766878309,False,,,
394.15,278.15,3300.0,690.0,0.8066666667,1.0,0.9,0.8,0.85,0.75,0.95,True,KALINA,0.1260443656115173,112.88296693446615,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.0452095071606788,1.7339459732693854,13.289455509467471,O2,1.7339459732693854,False,,,
394.15,278.15,3300.0,690.0,0.82,1.0,0.9,0.8,0.85,0.75,0.95,True,KALINA,0.1273186450108127,117.58829091203566,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.0453298156034812,0.8683767576302444,14.033778645328256,O2,0.8683767576302444,True,,,
394.15,278.15,3300.0,690.0,0.8333333333,1.0,0.9,0.8,0.85,0.75,0.95,True,KALINA,0.1285148474045906,122.26041919270146,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.0453858546038431,0.0354529611856264,14.820249572323632,O2,0.0354529611856264,True,True,KALINA,0.12849156439900256
394.15,278.15,3300.0,690.0,0.8466666667,1.0,0.9,0.8,0.85,0.75,0.95,True,CORREGIBLE,0.1296357861597422,126.89579322001867,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=291.64906807936654, esperado=<= 291.631 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben",0.0453582947883384,-0.0180017359349449,15.65477011947877,O2,-0.0180017359349449,True,True,CORREGIBLE,0.12961212824279614
394.15,278.15,3300.0,690.0,0.86,1.0,0.9,0.8,0.85,0.75,0.95,True,CORREGIBLE,0.1306833889751796,131.49036224731617,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=291.14220751000596, esperado=<= 291.110 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de suben",0.0452219726462754,-0.0317860356630603,16.544524132017614,O2,-0.0317860356630603,True,True,CORREGIBLE,0.13065936077066087
