T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje
394.15,278.15,3300.0,1200.0,0.78,1.0,0.9,0.8,0.85,0.95,0.95,True,KALINA,0.08643894254376712,69.44793585345616,"KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1200.0,0.8,1.0,0.9,0.8,0.85,0.95,0.95,True,KALINA,0.08734977067718422,74.19531384754245,"KALINA: régimen Kalina genuino y admisible, sin fallas."
394.15,278.15,3300.0,1200.0,0.84,1.0,0.9,0.8,0.85,0.95,0.95,True,CORREGIBLE,0.08893076780402637,83.55452985902546,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=310.36236231891405, esperado=<= 310.323 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
394.15,278.15,3300.0,1200.0,0.86,1.0,0.9,0.8,0.85,0.95,0.95,True,CORREGIBLE,0.08960175324357338,88.14765123002887,"[CORREGIBLE] O2: succión de la bomba bifásica bajo el peor caso de T_amb (riesgo de cavitación) (medido=309.4951185940812, esperado=<= 309.428 K). Causa probable: subenfriamiento insuficiente a la salida del condensador bajo el peor caso ambiental. Sugerencia: aumentar eps_cond o el margen de subenfriamiento de diseño del condensador"
