T_fuente,T_sumidero,P_alta,P_baja,x_b,m_b,eta_t,eta_p,eps_hrvg,eps_reg,eps_cond,convergio,clasificacion,eta,Wnet,mensaje,margen_O1,margen_O2,margen_S5,criterio_ligante,margen_ligante,spot_check,motor_confirmado,motor_real_clasificacion,motor_real_eta
394.15,278.15,3300.0,690.0,0.82,1.0,0.85,0.8,0.85,0.75,0.95,True,KALINA,0.11999755183665141,110.80176503190935,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.04948136968369421,0.7954212397701212,14.030830342811214,O2,0.7954212397701212,True,,,
394.15,278.15,3300.0,690.0,0.82,1.0,0.8666666667,0.8,0.85,0.75,0.95,True,KALINA,0.12243836403654834,113.06401602961832,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.04814561021099295,0.8197398899945938,14.031813177035417,O2,0.8197398899945938,True,,,
394.15,278.15,3300.0,690.0,0.82,1.0,0.8833333333,0.8,0.85,0.75,0.95,True,KALINA,0.12487872837306069,115.3261913119388,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.046762571649116014,0.8440583958825414,14.032795944538861,O2,0.8440583958825414,True,,,
394.15,278.15,3300.0,690.0,0.82,1.0,0.9,0.8,0.85,0.75,0.95,True,KALINA,0.1273186450108127,117.58829091203566,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.04532981560348126,0.8683767576302444,14.033778645328255,O2,0.8683767576302444,True,,,
394.15,278.15,3300.0,690.0,0.82,1.0,0.9166666667,0.8,0.85,0.75,0.95,True,KALINA,0.12975811407061705,119.85031482249367,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.04384515043988313,0.8926949750097037,14.034761279426334,O2,0.8926949750097037,True,,,
394.15,278.15,3300.0,690.0,0.82,1.0,0.9333333333,0.8,0.85,0.75,0.95,True,KALINA,0.13219713567248387,122.11226303519761,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.0423066786120434,0.9170130477796761,14.03574384681167,O2,0.9170130477796761,True,,,
394.15,278.15,3300.0,690.0,0.82,1.0,0.95,0.8,0.85,0.75,0.95,True,KALINA,0.13463570998132143,124.37413558374135,"KALINA: régimen Kalina genuino y admisible, sin fallas.",0.040712838226540704,0.9413309761470146,14.036726347532692,O2,0.9413309761470146,True,,,
